
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 1.89991474e-001, 7.26597533e-002, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.91656381e-001, 6.98103532e-002, 5.51350117e-002, 4.20791149e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 1.93436056e-001, 6.69609606e-002, 1.10270016e-001, 8.41582298e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 1.95327237e-001, 6.41115755e-002, 1.65405035e-001, 1.26237335e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 1.99019790e-001, 6.10268451e-002, 1.78417817e-001, 1.31804953e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 2.03518718e-001, 5.78937158e-002, 1.83104455e-001, 1.29865513e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 2.08478689e-001, 5.47605976e-002, 1.88130870e-001, 1.27926083e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 2.11997166e-001, 5.33003174e-002, 1.91567957e-001, 1.23655815e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 2.15023279e-001, 5.27059995e-002, 1.94397792e-001, 1.18178997e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 2.18519554e-001, 5.21116816e-002, 1.97605848e-001, 1.12702208e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 2.21509740e-001, 5.15691452e-002, 2.00148448e-001, 1.09026079e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 2.23996818e-001, 5.10808788e-002, 2.02018887e-001, 1.07236271e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 2.26986870e-001, 5.05926125e-002, 2.04300046e-001, 1.05446434e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 2.29655772e-001, 5.01602180e-002, 2.06207320e-001, 1.03900280e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 2.31080145e-001, 4.98477370e-002, 2.06870630e-001, 1.02876568e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.32986659e-001, 4.95352596e-002, 2.07955763e-001, 1.01852922e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.34971181e-001, 4.92328703e-002, 2.09104732e-001, 1.00971603e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.35113770e-001, 4.89888676e-002, 2.08607003e-001, 1.00914545e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.35661328e-001, 4.87448648e-002, 2.08479747e-001, 1.00857496e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.36611098e-001, 4.85008657e-002, 2.08723605e-001, 1.00800409e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.35658661e-001, 4.82983142e-002, 2.07373068e-001, 1.01327629e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 2.34955683e-001, 4.80967425e-002, 2.06263483e-001, 1.01868858e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 2.34558523e-001, 4.78951856e-002, 2.05444813e-001, 1.02410021e+001, 3.20603065e-002
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 2.33185306e-001, 4.77182418e-002, 2.03867748e-001, 1.03226233e+001, 3.35175917e-002
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 2.31706023e-001, 4.75472137e-002, 2.02233300e-001, 1.04108639e+001, 3.49748768e-002
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 2.30421394e-001, 4.73761931e-002, 2.00787768e-001, 1.04990988e+001, 3.64321619e-002
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 2.28778347e-001, 4.72218990e-002, 1.99095443e-001, 1.05963535e+001, 3.78894471e-002
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 2.26934120e-001, 4.70772088e-002, 1.97265759e-001, 1.06987743e+001, 3.93467322e-002
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 2.25191593e-001, 4.69325148e-002, 1.95535511e-001, 1.08011951e+001, 4.08040173e-002
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 2.23286062e-001, 4.67990972e-002, 1.93696782e-001, 1.09044037e+001, 4.22613025e-002
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 2.21139252e-001, 4.66786548e-002, 1.91680402e-001, 1.10085459e+001, 4.37185876e-002
1.09999999e-001, 4.51758727e-002, 0.00000000e+000, 2.19045162e-001, 4.65582199e-002, 1.89714938e-001, 1.11126919e+001, 4.51758727e-002
1.09999999e-001, 4.66331579e-002, 0.00000000e+000, 2.16849059e-001, 4.64444980e-002, 1.87678218e-001, 1.12146950e+001, 4.66331579e-002
1.09999999e-001, 4.80904430e-002, 0.00000000e+000, 2.14319304e-001, 4.63468619e-002, 1.85383528e-001, 1.13115377e+001, 4.80904430e-002
1.09999999e-001, 4.95477282e-002, 0.00000000e+000, 2.11823061e-001, 4.62492295e-002, 1.83120683e-001, 1.14083824e+001, 4.95477282e-002
1.09999999e-001, 5.10050133e-002, 0.00000000e+000, 2.09316209e-001, 4.61544022e-002, 1.80855274e-001, 1.15036793e+001, 5.10050133e-002
1.09999999e-001, 5.24622984e-002, 0.00000000e+000, 2.06517503e-001, 4.60793599e-002, 1.78366095e-001, 1.15880556e+001, 5.24622984e-002
1.09999999e-001, 5.39195836e-002, 0.00000000e+000, 2.03743488e-001, 4.60043177e-002, 1.75899863e-001, 1.16724281e+001, 5.39195836e-002
1.09999999e-001, 5.53768687e-002, 0.00000000e+000, 2.00995192e-001, 4.59292792e-002, 1.73457637e-001, 1.17568035e+001, 5.53768687e-002
1.09999999e-001, 5.68341538e-002, 0.00000000e+000, 1.98143885e-001, 4.58767377e-002, 1.70950443e-001, 1.18253260e+001, 5.68341538e-002
1.09999999e-001, 5.82914390e-002, 0.00000000e+000, 1.95304513e-001, 4.58253026e-002, 1.68455273e-001, 1.18930740e+001, 5.82914390e-002
1.09999999e-001, 5.97487241e-002, 0.00000000e+000, 1.92484006e-001, 4.57738750e-002, 1.65977120e-001, 1.19608240e+001, 5.97487241e-002
1.09999999e-001, 6.12060092e-002, 0.00000000e+000, 1.89691693e-001, 4.57410626e-002, 1.63538232e-001, 1.20138226e+001, 6.12060092e-002
1.09999999e-001, 6.26632944e-002, 0.00000000e+000, 1.86916664e-001, 4.57134210e-002, 1.61118492e-001, 1.20627375e+001, 6.26632944e-002
1.09999999e-001, 6.41205832e-002, 0.00000000e+000, 1.84156507e-001, 4.56857644e-002, 1.58711761e-001, 1.21116476e+001, 6.41205832e-002
1.09999999e-001, 6.55778721e-002, 0.00000000e+000, 1.81454599e-001, 4.56715412e-002, 1.56367466e-001, 1.21503334e+001, 6.55778721e-002
1.09999999e-001, 6.70351610e-002, 0.00000000e+000, 1.78793877e-001, 4.56658117e-002, 1.54066354e-001, 1.21825323e+001, 6.70351610e-002
1.09999999e-001, 6.84924498e-002, 0.00000000e+000, 1.76147342e-001, 4.56600823e-002, 1.51777849e-001, 1.22147303e+001, 6.84924498e-002
1.09999999e-001, 6.99497387e-002, 0.00000000e+000, 1.73543543e-001, 4.56629097e-002, 1.49537966e-001, 1.22420416e+001, 6.99497387e-002
1.09999999e-001, 7.14070275e-002, 0.00000000e+000, 1.70989662e-001, 4.56765406e-002, 1.47355422e-001, 1.22631359e+001, 7.14070275e-002
1.09999999e-001, 7.28643164e-002, 0.00000000e+000, 1.68450460e-001, 4.56901714e-002, 1.45186141e-001, 1.22842312e+001, 7.28643164e-002
1.09999999e-001, 7.43216053e-002, 0.00000000e+000, 1.65931061e-001, 4.57077883e-002, 1.43040791e-001, 1.23036938e+001, 7.43216053e-002
1.09999999e-001, 7.57788941e-002, 0.00000000e+000, 1.63437262e-001, 4.57360782e-002, 1.40935034e-001, 1.23187704e+001, 7.57788941e-002
1.09999999e-001, 7.72361830e-002, 0.00000000e+000, 1.60956517e-001, 4.57643569e-002, 1.38841122e-001, 1.23338394e+001, 7.72361830e-002
1.09999999e-001, 7.86934718e-002, 0.00000000e+000, 1.58478275e-001, 4.57939208e-002, 1.36748895e-001, 1.23482056e+001, 7.86934718e-002
1.09999999e-001, 8.01507607e-002, 0.00000000e+000, 1.55912936e-001, 4.58347611e-002, 1.34574771e-001, 1.23564253e+001, 8.01507607e-002
1.09999999e-001, 8.16080496e-002, 0.00000000e+000, 1.53364882e-001, 4.58755977e-002, 1.32417008e-001, 1.23646479e+001, 8.16080496e-002
1.09999999e-001, 8.30653384e-002, 0.00000000e+000, 1.50834933e-001, 4.59164418e-002, 1.30276442e-001, 1.23728695e+001, 8.30653384e-002
1.09999999e-001, 8.45226273e-002, 0.00000000e+000, 1.48127332e-001, 4.59708683e-002, 1.28044441e-001, 1.23704233e+001, 8.45226273e-002
1.09999999e-001, 8.59799162e-002, 0.00000000e+000, 1.45428658e-001, 4.60263155e-002, 1.25825211e-001, 1.23671408e+001, 8.59799162e-002
1.09999999e-001, 8.74372050e-002, 0.00000000e+000, 1.42671630e-001, 4.60912287e-002, 1.23550706e-001, 1.23590021e+001, 8.74372050e-002
1.09999999e-001, 8.88944939e-002, 0.00000000e+000, 1.39856175e-001, 4.61651459e-002, 1.21221595e-001, 1.23462772e+001, 8.88944939e-002
1.09999999e-001, 9.03517827e-002, 0.00000000e+000, 1.37036517e-001, 4.62408736e-002, 1.18891411e-001, 1.23329849e+001, 9.03517827e-002
1.09999999e-001, 9.18090716e-002, 0.00000000e+000, 1.34002626e-001, 4.63337861e-002, 1.16391294e-001, 1.23143349e+001, 9.18090716e-002
