
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 1.97376773e-001, 7.24120736e-002, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.98813275e-001, 6.95557296e-002, 5.67909703e-002, 4.20782185e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 2.00363949e-001, 6.66993707e-002, 1.13581985e-001, 8.41564655e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 2.02026203e-001, 6.38430044e-002, 1.70372963e-001, 1.26234703e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 2.05313236e-001, 6.07461520e-002, 1.83329612e-001, 1.31974316e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 2.09358186e-001, 5.75998612e-002, 1.87601551e-001, 1.30242510e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 2.13855192e-001, 5.44535518e-002, 1.92209274e-001, 1.28510637e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 2.16991276e-001, 5.29845059e-002, 1.95306316e-001, 1.24280386e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 2.19661281e-001, 5.23836873e-002, 1.97826013e-001, 1.18756771e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 2.22783774e-001, 5.17828763e-002, 2.00712636e-001, 1.13233194e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 2.25460559e-001, 5.12338951e-002, 2.02996418e-001, 1.09485970e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 2.27688372e-001, 5.07392287e-002, 2.04666212e-001, 1.07599878e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 2.30392918e-001, 5.02445661e-002, 2.06727237e-001, 1.05713711e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 2.32827678e-001, 4.98024411e-002, 2.08465219e-001, 1.04084301e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 2.34148949e-001, 4.94730994e-002, 2.09083229e-001, 1.03005981e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.35918850e-001, 4.91437539e-002, 2.10095212e-001, 1.01927719e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.37760052e-001, 4.88233045e-002, 2.11165458e-001, 1.00992899e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.37870514e-001, 4.85543460e-002, 2.10683241e-001, 1.00888739e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.38349870e-001, 4.82853837e-002, 2.10539773e-001, 1.00784607e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.39195839e-001, 4.80164178e-002, 2.10735634e-001, 1.00680428e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.38250986e-001, 4.77842167e-002, 2.09425822e-001, 1.01156864e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 2.37523839e-001, 4.75528836e-002, 2.08327785e-001, 1.01647224e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 2.37067074e-001, 4.73215617e-002, 2.07488000e-001, 1.02137508e+001, 3.20603065e-002
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 2.35751525e-001, 4.71154042e-002, 2.05990613e-001, 1.02872391e+001, 3.35175917e-002
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 2.34337345e-001, 4.69153039e-002, 2.04440713e-001, 1.03666162e+001, 3.49748768e-002
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 2.33088449e-001, 4.67152074e-002, 2.03052193e-001, 1.04459877e+001, 3.64321619e-002
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 2.31517658e-001, 4.65346016e-002, 2.01451883e-001, 1.05293722e+001, 3.78894471e-002
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 2.29766622e-001, 4.63651717e-002, 1.99734598e-001, 1.06150551e+001, 3.93467322e-002
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 2.28102475e-001, 4.61957492e-002, 1.98103175e-001, 1.07007389e+001, 4.08040173e-002
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 2.26279810e-001, 4.60394546e-002, 1.96369216e-001, 1.07889080e+001, 4.22613025e-002
