
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 5.68341538e-002, 0.00000000e+000, 2.16195986e-001, 4.44912501e-002, 1.92762285e-001, 1.16840830e+001, 5.68341538e-002
1.09999999e-001, 5.82914390e-002, 0.00000000e+000, 2.17376232e-001, 4.36970107e-002, 1.92985311e-001, 1.15623465e+001, 5.82914390e-002
1.09999999e-001, 5.97487241e-002, 0.00000000e+000, 2.19251379e-001, 4.29027677e-002, 1.93851128e-001, 1.14406118e+001, 5.97487241e-002
1.09999999e-001, 6.12060092e-002, 0.00000000e+000, 2.19283834e-001, 4.23274152e-002, 1.93144307e-001, 1.13777905e+001, 6.12060092e-002
1.09999999e-001, 6.26632944e-002, 0.00000000e+000, 2.19151944e-001, 4.18127328e-002, 1.92341134e-001, 1.13313046e+001, 6.26632944e-002
1.09999999e-001, 6.41205832e-002, 0.00000000e+000, 2.19538644e-001, 4.12980542e-002, 1.92045182e-001, 1.12848167e+001, 6.41205832e-002
1.09999999e-001, 6.55778721e-002, 0.00000000e+000, 2.19303250e-001, 4.08499055e-002, 1.91333190e-001, 1.12920313e+001, 6.55778721e-002
1.09999999e-001, 6.70351610e-002, 0.00000000e+000, 2.18697801e-001, 4.04438525e-002, 1.90384567e-001, 1.13332329e+001, 6.70351610e-002
1.09999999e-001, 6.84924498e-002, 0.00000000e+000, 2.18405515e-001, 4.00378071e-002, 1.89750716e-001, 1.13744354e+001, 6.84924498e-002
1.09999999e-001, 6.99497387e-002, 0.00000000e+000, 2.17908025e-001, 3.96443829e-002, 1.89023912e-001, 1.14453545e+001, 6.99497387e-002
1.09999999e-001, 7.14070275e-002, 0.00000000e+000, 2.16956154e-001, 3.92669067e-002, 1.87982962e-001, 1.15538158e+001, 7.14070275e-002
1.09999999e-001, 7.28643164e-002, 0.00000000e+000, 2.16164395e-001, 3.88894267e-002, 1.87104523e-001, 1.16622791e+001, 7.28643164e-002
1.09999999e-001, 7.43216053e-002, 0.00000000e+000, 2.15269610e-001, 3.85227017e-002, 1.86178431e-001, 1.17759180e+001, 7.43216053e-002
1.09999999e-001, 7.57788941e-002, 0.00000000e+000, 2.13772893e-001, 3.81848365e-002, 1.84792757e-001, 1.19034615e+001, 7.57788941e-002
1.09999999e-001, 7.72361830e-002, 0.00000000e+000, 2.12356538e-001, 3.78469750e-002, 1.83488131e-001, 1.20310020e+001, 7.72361830e-002
1.09999999e-001, 7.86934718e-002, 0.00000000e+000, 2.10923180e-001, 3.75165567e-002, 1.82180032e-001, 1.21568565e+001, 7.86934718e-002
1.09999999e-001, 8.01507607e-002, 0.00000000e+000, 2.08669722e-001, 3.72525156e-002, 1.80166721e-001, 1.22677250e+001, 8.01507607e-002
1.09999999e-001, 8.16080496e-002, 0.00000000e+000, 2.06466272e-001, 3.69884819e-002, 1.78202614e-001, 1.23785992e+001, 8.16080496e-002
1.09999999e-001, 8.30653384e-002, 0.00000000e+000, 2.04314426e-001, 3.67244408e-002, 1.76289156e-001, 1.24894619e+001, 8.30653384e-002
1.09999999e-001, 8.45226273e-002, 0.00000000e+000, 2.01483294e-001, 3.65197733e-002, 1.73841178e-001, 1.25720081e+001, 8.45226273e-002
1.09999999e-001, 8.59799162e-002, 0.00000000e+000, 1.98636591e-001, 3.63195613e-002, 1.71385437e-001, 1.26524210e+001, 8.59799162e-002
1.09999999e-001, 8.74372050e-002, 0.00000000e+000, 1.95678413e-001, 3.61477807e-002, 1.68829814e-001, 1.27121086e+001, 8.74372050e-002
1.09999999e-001, 8.88944939e-002, 0.00000000e+000, 1.92607433e-001, 3.60030010e-002, 1.66173026e-001, 1.27521362e+001, 8.88944939e-002
1.09999999e-001, 9.03517827e-002, 0.00000000e+000, 1.89533159e-001, 3.58647667e-002, 1.63516983e-001, 1.27899208e+001, 9.03517827e-002
1.09999999e-001, 9.18090716e-002, 0.00000000e+000, 1.86176509e-001, 3.57884802e-002, 1.60640433e-001, 1.28065662e+001, 9.18090716e-002
1.09999999e-001, 9.32663605e-002, 0.00000000e+000, 1.82851687e-001, 3.57121900e-002, 1.57793030e-001, 1.28232002e+001, 9.32663605e-002
1.09999999e-001, 9.47236493e-002, 0.00000000e+000, 1.79383963e-001, 3.56824622e-002, 1.54842257e-001, 1.28345547e+001, 9.47236493e-002
1.09999999e-001, 9.61809382e-002, 0.00000000e+000, 1.75868198e-001, 3.56748216e-002, 1.51860535e-001, 1.28433819e+001, 9.61809382e-002
1.09999999e-001, 9.76382270e-002, 0.00000000e+000, 1.72374204e-001, 3.56848724e-002, 1.48906589e-001, 1.28507071e+001, 9.76382270e-002
1.09999999e-001, 9.90955159e-002, 0.00000000e+000, 1.68866485e-001, 3.57450210e-002, 1.45960510e-001, 1.28537302e+001, 9.90955159e-002
1.09999999e-001, 1.00552805e-001, 0.00000000e+000, 1.65386438e-001, 3.58051695e-002, 1.43040687e-001, 1.28567495e+001, 1.00552805e-001
1.09999999e-001, 1.02010094e-001, 0.00000000e+000, 1.61952749e-001, 3.59150842e-002, 1.40144542e-001, 1.28515348e+001, 1.02010094e-001
1.09999999e-001, 1.03467382e-001, 0.00000000e+000, 1.58544555e-001, 3.60342003e-002, 1.37269616e-001, 1.28447943e+001, 1.03467382e-001
1.09999999e-001, 1.04924671e-001, 0.00000000e+000, 1.55140251e-001, 3.61838825e-002, 1.34441361e-001, 1.28283195e+001, 1.04924671e-001
1.09999999e-001, 1.06381960e-001, 0.00000000e+000, 1.51732609e-001, 3.63746732e-002, 1.31667033e-001, 1.27987652e+001, 1.06381960e-001
1.09999999e-001, 1.07839249e-001, 0.00000000e+000, 1.48350313e-001, 3.66201103e-002, 1.28906131e-001, 1.27592335e+001, 1.07839249e-001
1.09999999e-001, 1.09296538e-001, 0.00000000e+000, 1.44986093e-001, 3.68912853e-002, 1.26157120e-001, 1.27149897e+001, 1.09296538e-001
1.09999999e-001, 1.10753827e-001, 0.00000000e+000, 1.41519010e-001, 3.72431390e-002, 1.23343930e-001, 1.26638041e+001, 1.10753827e-001
1.09999999e-001, 1.12211116e-001, 0.00000000e+000, 1.38055667e-001, 3.76236178e-002, 1.20541751e-001, 1.26089811e+001, 1.12211116e-001
1.09999999e-001, 1.13668405e-001, 0.00000000e+000, 1.34602308e-001, 3.81038897e-002, 1.17770992e-001, 1.25404253e+001, 1.13668405e-001
1.09999999e-001, 1.15125693e-001, 0.00000000e+000, 1.31166384e-001, 3.86560895e-002, 1.15028903e-001, 1.24610825e+001, 1.15125693e-001
1.09999999e-001, 1.16582982e-001, 0.00000000e+000, 1.27748653e-001, 3.93001661e-002, 1.12319209e-001, 1.23679571e+001, 1.16582982e-001
1.09999999e-001, 1.18040271e-001, 0.00000000e+000, 1.24314822e-001, 4.00800556e-002, 1.09614559e-001, 1.22463503e+001, 1.18040271e-001
1.09999999e-001, 1.19497560e-001, 0.00000000e+000, 1.20882258e-001, 4.09201384e-002, 1.06917374e-001, 1.21120806e+001, 1.19497560e-001
1.09999999e-001, 1.20954849e-001, 0.00000000e+000, 1.17416114e-001, 4.18990292e-002, 1.04198121e-001, 1.19483843e+001, 1.20954849e-001
1.09999999e-001, 1.22412138e-001, 0.00000000e+000, 1.13979742e-001, 4.28770296e-002, 1.01494156e-001, 1.17873363e+001, 1.22412138e-001
1.09999999e-001, 1.23869427e-001, 0.00000000e+000, 1.10668115e-001, 4.37670574e-002, 9.88500640e-002, 1.16603069e+001, 1.23869427e-001
1.09999999e-001, 1.25326708e-001, 0.00000000e+000, 1.07480831e-001, 4.44873311e-002, 9.62726325e-002, 1.15799437e+001, 1.25326708e-001
1.09999999e-001, 1.26783997e-001, 0.00000000e+000, 1.04495943e-001, 4.49044071e-002, 9.38034281e-002, 1.15829000e+001, 1.26783997e-001
1.09999999e-001, 1.28241286e-001, 0.00000000e+000, 1.01758271e-001, 4.49377075e-002, 9.14802179e-002, 1.16805582e+001, 1.28241286e-001
1.09999999e-001, 1.29698575e-001, 0.00000000e+000, 9.91951674e-002, 4.46944609e-002, 8.92611593e-002, 1.18464994e+001, 1.29698575e-001
1.09999999e-001, 1.31155863e-001, 0.00000000e+000, 9.70348865e-002, 4.41089198e-002, 8.73509720e-002, 1.20464373e+001, 1.31155863e-001
1.09999999e-001, 1.32613152e-001, 0.00000000e+000, 9.49853808e-002, 4.34445590e-002, 8.55319872e-002, 1.22523365e+001, 1.32613152e-001
1.09999999e-001, 1.34070441e-001, 0.00000000e+000, 9.34023410e-002, 4.29734066e-002, 8.42010155e-002, 1.23670759e+001, 1.34070441e-001
1.09999999e-001, 1.35527730e-001, 0.00000000e+000, 9.19162855e-002, 4.26098034e-002, 8.29448178e-002, 1.24638386e+001, 1.35527730e-001
1.09999999e-001, 1.36985019e-001, 0.00000000e+000, 9.07191858e-002, 4.25730385e-002, 8.19162056e-002, 1.25059700e+001, 1.36985019e-001
1.09999999e-001, 1.38442308e-001, 0.00000000e+000, 8.95282626e-002, 4.25362699e-002, 8.08902457e-002, 1.25480995e+001, 1.38442308e-001
1.09999999e-001, 1.39899597e-001, 0.00000000e+000, 8.83998126e-002, 4.25309092e-002, 7.99159780e-002, 1.25897675e+001, 1.39899597e-001
1.09999999e-001, 1.41356885e-001, 0.00000000e+000, 8.74829963e-002, 4.26424183e-002, 7.91249946e-002, 1.26297512e+001, 1.41356885e-001
1.09999999e-001, 1.42814174e-001, 0.00000000e+000, 8.65688026e-002, 4.27539274e-002, 7.83349872e-002, 1.26697197e+001, 1.42814174e-001
1.09999999e-001, 1.44271463e-001, 0.00000000e+000, 8.57531726e-002, 4.28634472e-002, 7.76222944e-002, 1.27124462e+001, 1.44271463e-001
1.09999999e-001, 1.45728752e-001, 0.00000000e+000, 8.53964090e-002, 4.29634973e-002, 7.72714764e-002, 1.27678747e+001, 1.45728752e-001
1.09999999e-001, 1.47186041e-001, 0.00000000e+000, 8.50505158e-002, 4.30635512e-002, 7.69277215e-002, 1.28233051e+001, 1.47186041e-001
1.09999999e-001, 1.48643330e-001, 0.00000000e+000, 8.47688690e-002, 4.31600735e-002, 7.66367987e-002, 1.28793678e+001, 1.48643330e-001
1.09999999e-001, 1.50100619e-001, 0.00000000e+000, 8.48296434e-002, 4.32350338e-002, 7.66377971e-002, 1.29393854e+001, 1.50100619e-001
1.09999999e-001, 1.51557907e-001, 0.00000000e+000, 8.49121436e-002, 4.33099903e-002, 7.66553506e-002, 1.29994059e+001, 1.51557907e-001
1.09999999e-001, 1.53015196e-001, 0.00000000e+000, 8.50293264e-002, 4.33824658e-002, 7.66995624e-002, 1.30594501e+001, 1.53015196e-001
1.09999999e-001, 1.54472485e-001, 0.00000000e+000, 8.52751508e-002, 4.34338376e-002, 7.68461302e-002, 1.31200542e+001, 1.54472485e-001
1.09999999e-001, 1.55929774e-001, 0.00000000e+000, 8.55461285e-002, 4.34852019e-002, 7.70119652e-002, 1.31806469e+001, 1.55929774e-001
1.09999999e-001, 1.57387063e-001, 0.00000000e+000, 8.58381987e-002, 4.35351469e-002, 7.71922246e-002, 1.32405519e+001, 1.57387063e-001
1.09999999e-001, 1.58844352e-001, 0.00000000e+000, 8.61056298e-002, 4.35659252e-002, 7.73282126e-002, 1.32911110e+001, 1.58844352e-001
1.09999999e-001, 1.60301641e-001, 0.00000000e+000, 8.63961652e-002, 4.35966998e-002, 7.74812624e-002, 1.33416700e+001, 1.60301641e-001
1.09999999e-001, 1.61758929e-001, 0.00000000e+000, 8.67047757e-002, 4.36267555e-002, 7.76459724e-002, 1.33915262e+001, 1.61758929e-001
1.09999999e-001, 1.63216218e-001, 0.00000000e+000, 8.68944079e-002, 4.36362289e-002, 7.76727125e-002, 1.34212513e+001, 1.63216218e-001
1.09999999e-001, 1.64673507e-001, 0.00000000e+000, 8.71004909e-002, 4.36456986e-002, 7.77109116e-002, 1.34509726e+001, 1.64673507e-001
1.09999999e-001, 1.66130796e-001, 0.00000000e+000, 8.73229131e-002, 4.36551757e-002, 7.77606070e-002, 1.34806995e+001, 1.66130796e-001
1.09999999e-001, 1.67588085e-001, 0.00000000e+000, 8.69035870e-002, 4.36114818e-002, 7.72751793e-002, 1.34636307e+001, 1.67588085e-001
1.09999999e-001, 1.69045374e-001, 0.00000000e+000, 8.64870399e-002, 4.35676835e-002, 7.67911449e-002, 1.34464722e+001, 1.69045374e-001
1.09999999e-001, 1.70502663e-001, 0.00000000e+000, 8.60745609e-002, 4.35238928e-002, 7.63095990e-002, 1.34293156e+001, 1.70502663e-001
1.09999999e-001, 1.71959952e-001, 0.00000000e+000, 8.47321600e-002, 4.34052423e-002, 7.50778615e-002, 1.33505268e+001, 1.71959952e-001
1.09999999e-001, 1.73417240e-001, 0.00000000e+000, 8.33535641e-002, 4.32836637e-002, 7.38175660e-002, 1.32693415e+001, 1.73417240e-001
1.09999999e-001, 1.74874529e-001, 0.00000000e+000, 8.19753334e-002, 4.31620888e-002, 7.25581571e-002, 1.31881580e+001, 1.74874529e-001
1.09999999e-001, 1.76331818e-001, 0.00000000e+000, 8.04025382e-002, 4.29747552e-002, 7.10845441e-002, 1.30645990e+001, 1.76331818e-001
1.09999999e-001, 1.77789107e-001, 0.00000000e+000, 7.88145512e-002, 4.27822359e-002, 6.95941076e-002, 1.29376926e+001, 1.77789107e-001
1.09999999e-001, 1.79246396e-001, 0.00000000e+000, 7.72267655e-002, 4.25897129e-002, 6.81038350e-002, 1.28107882e+001, 1.79246396e-001
1.09999999e-001, 1.80703685e-001, 0.00000000e+000, 7.59783909e-002, 4.23369594e-002, 6.67883009e-002, 1.26643753e+001, 1.80703685e-001
1.09999999e-001, 1.82160974e-001, 0.00000000e+000, 7.47790858e-002, 4.20768559e-002, 6.54964596e-002, 1.25155792e+001, 1.82160974e-001
1.09999999e-001, 1.83618262e-001, 0.00000000e+000, 7.35881925e-002, 4.18167487e-002, 6.42072260e-002, 1.23667841e+001, 1.83618262e-001
1.09999999e-001, 1.85075551e-001, 0.00000000e+000, 7.25170299e-002, 4.14895788e-002, 6.29436672e-002, 1.21972580e+001, 1.85075551e-001
1.09999999e-001, 1.86532840e-001, 0.00000000e+000, 7.14769065e-002, 4.11510840e-002, 6.16882853e-002, 1.20242300e+001, 1.86532840e-001
1.09999999e-001, 1.87990129e-001, 0.00000000e+000, 7.04498813e-002, 4.08125930e-002, 6.04376122e-002, 1.18512020e+001, 1.87990129e-001
1.09999999e-001, 1.89447418e-001, 0.00000000e+000, 6.93348497e-002, 4.03967202e-002, 5.90793155e-002, 1.16536684e+001, 1.89447418e-001
1.09999999e-001, 1.90904707e-001, 0.00000000e+000, 6.82071745e-002, 3.99638526e-002, 5.76989390e-002, 1.14507504e+001, 1.90904707e-001
1.09999999e-001, 1.92361996e-001, 0.00000000e+000, 6.70892075e-002, 3.95309851e-002, 5.63211553e-002, 1.12478294e+001, 1.92361996e-001
1.09999999e-001, 1.93819284e-001, 0.00000000e+000, 6.59051910e-002, 3.90186980e-002, 5.48707843e-002, 1.10476017e+001, 1.93819284e-001
1.09999999e-001, 1.95276573e-001, 0.00000000e+000, 6.47076666e-002, 3.84845473e-002, 5.34010977e-002, 1.08481121e+001, 1.95276573e-001
1.09999999e-001, 1.96733862e-001, 0.00000000e+000, 6.35176599e-002, 3.79504040e-002, 5.19327633e-002, 1.06486254e+001, 1.96733862e-001
1.09999999e-001, 1.98191151e-001, 0.00000000e+000, 6.23431914e-002, 3.73434350e-002, 5.04808128e-002, 1.04789877e+001, 1.98191151e-001
1.09999999e-001, 1.99648440e-001, 0.00000000e+000, 6.11783713e-002, 3.67120057e-002, 4.90351059e-002, 1.03193779e+001, 1.99648440e-001
1.09999999e-001, 2.01105729e-001, 0.00000000e+000, 6.00208566e-002, 3.60805765e-002, 4.75906804e-002, 1.01597662e+001, 2.01105729e-001
1.09999999e-001, 2.02563018e-001, 0.00000000e+000, 5.89448884e-002, 3.53922397e-002, 4.62264493e-002, 1.00316114e+001, 2.02563018e-001
1.09999999e-001, 2.04020306e-001, 0.00000000e+000, 5.79065681e-002, 3.46809961e-002, 4.48957086e-002, 9.91612148e+000, 2.04020306e-001
1.09999999e-001, 2.05477595e-001, 0.00000000e+000, 5.68765476e-002, 3.39697413e-002, 4.35669348e-002, 9.80062866e+000, 2.05477595e-001
1.09999999e-001, 2.06934884e-001, 0.00000000e+000, 5.59598021e-002, 3.32215503e-002, 4.23354506e-002, 9.70669746e+000, 2.06934884e-001
1.09999999e-001, 2.08392173e-001, 0.00000000e+000, 5.51019050e-002, 3.24557573e-002, 4.11519706e-002, 9.62303448e+000, 2.08392173e-001
1.09999999e-001, 2.09849462e-001, 0.00000000e+000, 5.42534366e-002, 3.16899605e-002, 3.99714708e-002, 9.53936958e+000, 2.09849462e-001
1.09999999e-001, 2.11306751e-001, 0.00000000e+000, 5.35507165e-002, 3.09056919e-002, 3.89037244e-002, 9.47272778e+000, 2.11306751e-001
1.09999999e-001, 2.12764040e-001, 0.00000000e+000, 5.29338010e-002, 3.01111061e-002, 3.79010662e-002, 9.41558743e+000, 2.12764040e-001
1.09999999e-001, 2.14221328e-001, 0.00000000e+000, 5.23271039e-002, 2.93165259e-002, 3.69028188e-002, 9.35844898e+000, 2.14221328e-001
1.09999999e-001, 2.15678617e-001, 0.00000000e+000, 5.18113375e-002, 2.85126157e-002, 3.59857492e-002, 9.31648827e+000, 2.15678617e-001
1.09999999e-001, 2.17135906e-001, 0.00000000e+000, 5.13558909e-002, 2.77026482e-002, 3.51222903e-002, 9.28439236e+000, 2.17135906e-001
1.09999999e-001, 2.18593195e-001, 0.00000000e+000, 5.09080961e-002, 2.68926769e-002, 3.42628062e-002, 9.25229645e+000, 2.18593195e-001
1.09999999e-001, 2.20050484e-001, 0.00000000e+000, 5.04590236e-002, 2.60756556e-002, 3.34348716e-002, 9.22836208e+000, 2.20050484e-001
1.09999999e-001, 2.21507773e-001, 0.00000000e+000, 5.00074401e-002, 2.52533201e-002, 3.26297618e-002, 9.21057415e+000, 2.21507773e-001
1.09999999e-001, 2.22965062e-001, 0.00000000e+000, 4.95593213e-002, 2.44309902e-002, 3.18264589e-002, 9.19278431e+000, 2.22965062e-001
1.09999999e-001, 2.24422351e-001, 0.00000000e+000, 4.90865037e-002, 2.36043110e-002, 3.10415775e-002, 9.17716122e+000, 2.24422351e-001
1.09999999e-001, 2.25879639e-001, 0.00000000e+000, 4.85911258e-002, 2.27738526e-002, 3.02720945e-002, 9.16341972e+000, 2.25879639e-001
1.09999999e-001, 2.27336928e-001, 0.00000000e+000, 4.80972975e-002, 2.19433978e-002, 2.95034237e-002, 9.14967728e+000, 2.27336928e-001
1.09999999e-001, 2.28794217e-001, 0.00000000e+000, 4.75749373e-002, 2.11149212e-002, 2.87450738e-002, 9.13615227e+000, 2.28794217e-001
1.09999999e-001, 2.30251506e-001, 0.00000000e+000, 4.70236838e-002, 2.02884227e-002, 2.79969405e-002, 9.12284184e+000, 2.30251506e-001
1.09999999e-001, 2.31708795e-001, 0.00000000e+000, 4.64737378e-002, 1.94619261e-002, 2.72495821e-002, 9.10953045e+000, 2.31708795e-001
1.09999999e-001, 2.33166084e-001, 0.00000000e+000, 4.58718129e-002, 1.86470598e-002, 2.64953002e-002, 9.09497833e+000, 2.33166084e-001
1.09999999e-001, 2.34623373e-001, 0.00000000e+000, 4.52095382e-002, 1.78456418e-002, 2.57329158e-002, 9.07898712e+000, 2.34623373e-001
1.09999999e-001, 2.36080661e-001, 0.00000000e+000, 4.45486829e-002, 1.70442257e-002, 2.49714609e-002, 9.06299782e+000, 2.36080661e-001
1.09999999e-001, 2.37537950e-001, 0.00000000e+000, 4.38537933e-002, 1.62633080e-002, 2.42145844e-002, 9.04600048e+000, 2.37537950e-001
1.09999999e-001, 2.38995239e-001, 0.00000000e+000, 4.31130044e-002, 1.55098001e-002, 2.34636292e-002, 9.02765751e+000, 2.38995239e-001
1.09999999e-001, 2.40452528e-001, 0.00000000e+000, 4.23739105e-002, 1.47562930e-002, 2.27139648e-002, 9.00931454e+000, 2.40452528e-001
1.09999999e-001, 2.41909817e-001, 0.00000000e+000, 4.16226573e-002, 1.40282251e-002, 2.19809525e-002, 8.99146175e+000, 2.41909817e-001
1.09999999e-001, 2.43367106e-001, 0.00000000e+000, 4.08516563e-002, 1.33395810e-002, 2.12730002e-002, 8.97436714e+000, 2.43367106e-001
1.09999999e-001, 2.44824395e-001, 0.00000000e+000, 4.00825627e-002, 1.26509340e-002, 2.05666237e-002, 8.95727158e+000, 2.44824395e-001
1.09999999e-001, 2.46281683e-001, 0.00000000e+000, 3.93080004e-002, 1.19884750e-002, 1.98801197e-002, 8.94236469e+000, 2.46281683e-001
1.09999999e-001, 2.47738972e-001, 0.00000000e+000, 3.85218896e-002, 1.13732629e-002, 1.92280095e-002, 8.93140507e+000, 2.47738972e-001
1.09999999e-001, 2.49196261e-001, 0.00000000e+000, 3.77378613e-002, 1.07580526e-002, 1.85776502e-002, 8.92044449e+000, 2.49196261e-001
1.09999999e-001, 2.50653535e-001, 0.00000000e+000, 3.69525924e-002, 1.01670856e-002, 1.79484412e-002, 8.91291523e+000, 2.50653535e-001
1.09999999e-001, 2.52110809e-001, 0.00000000e+000, 3.61621864e-002, 9.62739345e-003, 1.73617750e-002, 8.91264534e+000, 2.52110809e-001
