
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 1.96847335e-001, 7.28242844e-002, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 1.98301628e-001, 6.99113235e-002, 5.67001104e-002, 4.15806484e+000, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 1.99869692e-001, 6.69983551e-002, 1.13400258e-001, 8.31613255e+000, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 2.01548859e-001, 6.40853867e-002, 1.70100376e-001, 1.24741983e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 2.04857767e-001, 6.09163493e-002, 1.83047965e-001, 1.30100393e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 2.08921716e-001, 5.76946661e-002, 1.87325016e-001, 1.28011293e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 2.13433385e-001, 5.44729866e-002, 1.91935062e-001, 1.25922174e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 2.16554523e-001, 5.29521890e-002, 1.95010900e-001, 1.21674385e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 2.19194829e-001, 5.23118638e-002, 1.97497651e-001, 1.16309109e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 2.22286761e-001, 5.16715311e-002, 2.00350925e-001, 1.10943880e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 2.24932238e-001, 5.10851406e-002, 2.02602550e-001, 1.07403011e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 2.27128685e-001, 5.05552702e-002, 2.04240993e-001, 1.05773525e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 2.29802191e-001, 5.00253960e-002, 2.06270039e-001, 1.04143991e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 2.32215345e-001, 4.95511666e-002, 2.07984194e-001, 1.02745934e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 2.33533889e-001, 4.91963774e-002, 2.08595812e-001, 1.01844664e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 2.35300377e-001, 4.88415882e-002, 2.09600106e-001, 1.00943451e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 2.37141028e-001, 4.84968312e-002, 2.10664779e-001, 1.00176620e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 2.37271026e-001, 4.82101329e-002, 2.10194856e-001, 1.00187969e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 2.37768829e-001, 4.79234420e-002, 2.10062459e-001, 1.00199347e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 2.38632008e-001, 4.76367511e-002, 2.10268155e-001, 1.00210686e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 2.37711847e-001, 4.73947041e-002, 2.08976999e-001, 1.00750408e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 2.37008274e-001, 4.71537113e-002, 2.07896769e-001, 1.01302814e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 2.36573651e-001, 4.69127297e-002, 2.07073644e-001, 1.01855154e+001, 3.20603065e-002
