
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Pvc.Velocity [ m s^-1 ], Pvc.Volume Fraction, Pvp.Velocity [ m s^-1 ], User Defined Memory 0, Y [ m ]
1.09999999e-001, 0.00000000e+000, 0.00000000e+000, 5.65445833e-002, 1.44330531e-001, 0.00000000e+000, 0.00000000e+000, 0.00000000e+000
1.09999999e-001, 1.45728642e-003, 0.00000000e+000, 6.00971393e-002, 1.31771341e-001, 1.89767536e-002, 1.71738319e+001, 1.45728642e-003
1.09999999e-001, 2.91457283e-003, 0.00000000e+000, 6.36623204e-002, 1.19212188e-001, 3.79535034e-002, 3.43476601e+001, 2.91457283e-003
1.09999999e-001, 4.37185913e-003, 0.00000000e+000, 6.72381148e-002, 1.06653020e-001, 5.69302551e-002, 5.15214882e+001, 4.37185913e-003
1.09999999e-001, 5.82914567e-003, 0.00000000e+000, 7.20342919e-002, 9.42954645e-002, 6.40584975e-002, 5.38324776e+001, 5.82914567e-003
1.09999999e-001, 7.28643220e-003, 0.00000000e+000, 7.71715790e-002, 8.19793567e-002, 6.88132942e-002, 5.30875435e+001, 7.28643220e-003
1.09999999e-001, 8.74371827e-003, 0.00000000e+000, 8.23910385e-002, 6.96632490e-002, 7.36240819e-002, 5.23426170e+001, 8.74371827e-003
1.09999999e-001, 1.02010043e-002, 0.00000000e+000, 8.59120637e-002, 6.50329739e-002, 7.69720301e-002, 4.68597031e+001, 1.02010043e-002
1.09999999e-001, 1.16582904e-002, 0.00000000e+000, 8.86563361e-002, 6.43812642e-002, 7.96617568e-002, 3.89241791e+001, 1.16582904e-002
1.09999999e-001, 1.31155765e-002, 0.00000000e+000, 9.15412307e-002, 6.37295544e-002, 8.24787021e-002, 3.09886646e+001, 1.31155765e-002
1.09999999e-001, 1.45728625e-002, 0.00000000e+000, 9.43207815e-002, 6.28023744e-002, 8.50827172e-002, 2.68428459e+001, 1.45728625e-002
1.09999999e-001, 1.60301495e-002, 0.00000000e+000, 9.70328972e-002, 6.15866110e-002, 8.74756053e-002, 2.66671810e+001, 1.60301495e-002
1.09999999e-001, 1.74874365e-002, 0.00000000e+000, 9.99274626e-002, 6.03708364e-002, 8.99993554e-002, 2.64915085e+001, 1.74874365e-002
1.09999999e-001, 1.89447235e-002, 0.00000000e+000, 1.02631748e-001, 5.93738817e-002, 9.23118964e-002, 2.62065792e+001, 1.89447235e-002
1.09999999e-001, 2.04020105e-002, 0.00000000e+000, 1.04733728e-001, 5.88465892e-002, 9.40437838e-002, 2.56870079e+001, 2.04020105e-002
1.09999999e-001, 2.18592975e-002, 0.00000000e+000, 1.06996030e-001, 5.83193004e-002, 9.59097743e-002, 2.51674480e+001, 2.18592975e-002
1.09999999e-001, 2.33165845e-002, 0.00000000e+000, 1.09237649e-001, 5.78237399e-002, 9.77462903e-002, 2.47022724e+001, 2.33165845e-002
1.09999999e-001, 2.47738715e-002, 0.00000000e+000, 1.10640146e-001, 5.75119406e-002, 9.88109112e-002, 2.45520248e+001, 2.47738715e-002
1.09999999e-001, 2.62311585e-002, 0.00000000e+000, 1.12194404e-001, 5.72001413e-002, 1.00008979e-001, 2.44017773e+001, 2.62311585e-002
1.09999999e-001, 2.76884455e-002, 0.00000000e+000, 1.13894202e-001, 5.68883307e-002, 1.01335742e-001, 2.42515221e+001, 2.76884455e-002
1.09999999e-001, 2.91457325e-002, 0.00000000e+000, 1.14626296e-001, 5.67189753e-002, 1.01822354e-001, 2.41904736e+001, 2.91457325e-002
1.09999999e-001, 3.06030195e-002, 0.00000000e+000, 1.15476124e-001, 5.65530062e-002, 1.02419123e-001, 2.41315804e+001, 3.06030195e-002
1.09999999e-001, 3.20603065e-002, 0.00000000e+000, 1.16466962e-001, 5.63870482e-002, 1.03146605e-001, 2.40726681e+001, 3.20603065e-002
1.09999999e-001, 3.35175917e-002, 0.00000000e+000, 1.16765164e-001, 5.62676676e-002, 1.03284493e-001, 2.40814991e+001, 3.35175917e-002
1.09999999e-001, 3.49748768e-002, 0.00000000e+000, 1.16995253e-001, 5.61594814e-002, 1.03375025e-001, 2.41066399e+001, 3.49748768e-002
1.09999999e-001, 3.64321619e-002, 0.00000000e+000, 1.17355488e-001, 5.60513027e-002, 1.03590019e-001, 2.41317654e+001, 3.64321619e-002
1.09999999e-001, 3.78894471e-002, 0.00000000e+000, 1.17273517e-001, 5.59510477e-002, 1.03443742e-001, 2.41887836e+001, 3.78894471e-002
1.09999999e-001, 3.93467322e-002, 0.00000000e+000, 1.16976947e-001, 5.58553562e-002, 1.03129163e-001, 2.42640724e+001, 3.93467322e-002
1.09999999e-001, 4.08040173e-002, 0.00000000e+000, 1.16790436e-001, 5.57596385e-002, 1.02922127e-001, 2.43393650e+001, 4.08040173e-002
1.09999999e-001, 4.22613025e-002, 0.00000000e+000, 1.16346233e-001, 5.56681231e-002, 1.02512538e-001, 2.44205551e+001, 4.22613025e-002
1.09999999e-001, 4.37185876e-002, 0.00000000e+000, 1.15570098e-001, 5.55814095e-002, 1.01836070e-001, 2.45085831e+001, 4.37185876e-002
1.09999999e-001, 4.51758727e-002, 0.00000000e+000, 1.14880040e-001, 5.54947071e-002, 1.01244606e-001, 2.45966187e+001, 4.51758727e-002
1.09999999e-001, 4.66331579e-002, 0.00000000e+000, 1.14082128e-001, 5.54186255e-002, 1.00574635e-001, 2.46752586e+001, 4.66331579e-002
1.09999999e-001, 4.80904430e-002, 0.00000000e+000, 1.12883396e-001, 5.53680211e-002, 9.95753109e-002, 2.47313213e+001, 4.80904430e-002
1.09999999e-001, 4.95477282e-002, 0.00000000e+000, 1.11741766e-001, 5.53174205e-002, 9.86315981e-002, 2.47873840e+001, 4.95477282e-002
1.09999999e-001, 5.10050133e-002, 0.00000000e+000, 1.10607520e-001, 5.52749038e-002, 9.77010280e-002, 2.48372478e+001, 5.10050133e-002
1.09999999e-001, 5.24622984e-002, 0.00000000e+000, 1.09152310e-001, 5.52895628e-002, 9.65003818e-002, 2.48433247e+001, 5.24622984e-002
1.09999999e-001, 5.39195836e-002, 0.00000000e+000, 1.07727446e-001, 5.53042106e-002, 9.53282937e-002, 2.48494015e+001, 5.39195836e-002
1.09999999e-001, 5.53768687e-002, 0.00000000e+000, 1.06334172e-001, 5.53188734e-002, 9.41858515e-002, 2.48554764e+001, 5.53768687e-002
1.09999999e-001, 5.68341538e-002, 0.00000000e+000, 1.04763754e-001, 5.54123148e-002, 9.28911716e-002, 2.48279629e+001, 5.68341538e-002
