
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.16582982e-001, 0.00000000e+000, 9.48160589e-002
1.09999999e-001, 1.18040271e-001, 0.00000000e+000, 9.53205526e-002
1.09999999e-001, 1.19497560e-001, 0.00000000e+000, 9.58401188e-002
1.09999999e-001, 1.20954849e-001, 0.00000000e+000, 9.63759795e-002
1.09999999e-001, 1.22412138e-001, 0.00000000e+000, 9.69222933e-002
1.09999999e-001, 1.23869427e-001, 0.00000000e+000, 9.74621624e-002
1.09999999e-001, 1.25326708e-001, 0.00000000e+000, 9.80032235e-002
1.09999999e-001, 1.26783997e-001, 0.00000000e+000, 9.85355973e-002
1.09999999e-001, 1.28241286e-001, 0.00000000e+000, 9.90512595e-002
1.09999999e-001, 1.29698575e-001, 0.00000000e+000, 9.95608196e-002
1.09999999e-001, 1.31155863e-001, 0.00000000e+000, 1.00018434e-001
1.09999999e-001, 1.32613152e-001, 0.00000000e+000, 1.00478135e-001
1.09999999e-001, 1.34070441e-001, 0.00000000e+000, 1.00951523e-001
1.09999999e-001, 1.35527730e-001, 0.00000000e+000, 1.01452343e-001
1.09999999e-001, 1.36985019e-001, 0.00000000e+000, 1.01985209e-001
1.09999999e-001, 1.38442308e-001, 0.00000000e+000, 1.02536879e-001
1.09999999e-001, 1.39899597e-001, 0.00000000e+000, 1.03096277e-001
1.09999999e-001, 1.41356885e-001, 0.00000000e+000, 1.03628285e-001
1.09999999e-001, 1.42814174e-001, 0.00000000e+000, 1.04169600e-001
1.09999999e-001, 1.44271463e-001, 0.00000000e+000, 1.04721278e-001
1.09999999e-001, 1.45728752e-001, 0.00000000e+000, 1.05285406e-001
1.09999999e-001, 1.47186041e-001, 0.00000000e+000, 1.05854660e-001
1.09999999e-001, 1.48643330e-001, 0.00000000e+000, 1.06434733e-001
1.09999999e-001, 1.50100619e-001, 0.00000000e+000, 1.07054405e-001
1.09999999e-001, 1.51557907e-001, 0.00000000e+000, 1.07676625e-001
1.09999999e-001, 1.53015196e-001, 0.00000000e+000, 1.08305581e-001
1.09999999e-001, 1.54472485e-001, 0.00000000e+000, 1.08972199e-001
1.09999999e-001, 1.55929774e-001, 0.00000000e+000, 1.09639846e-001
1.09999999e-001, 1.57387063e-001, 0.00000000e+000, 1.10309571e-001
