
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.16582982e-001, 0.00000000e+000, 1.25016287e-001
1.09999999e-001, 1.18040271e-001, 0.00000000e+000, 1.25744626e-001
1.09999999e-001, 1.19497560e-001, 0.00000000e+000, 1.26454532e-001
1.09999999e-001, 1.20954849e-001, 0.00000000e+000, 1.27081692e-001
1.09999999e-001, 1.22412138e-001, 0.00000000e+000, 1.27691820e-001
1.09999999e-001, 1.23869427e-001, 0.00000000e+000, 1.28208622e-001
1.09999999e-001, 1.25326708e-001, 0.00000000e+000, 1.28686935e-001
1.09999999e-001, 1.26783997e-001, 0.00000000e+000, 1.29090667e-001
1.09999999e-001, 1.28241286e-001, 0.00000000e+000, 1.29422814e-001
1.09999999e-001, 1.29698575e-001, 0.00000000e+000, 1.29704535e-001
1.09999999e-001, 1.31155863e-001, 0.00000000e+000, 1.29918322e-001
1.09999999e-001, 1.32613152e-001, 0.00000000e+000, 1.30115584e-001
1.09999999e-001, 1.34070441e-001, 0.00000000e+000, 1.30194396e-001
1.09999999e-001, 1.35527730e-001, 0.00000000e+000, 1.30233094e-001
1.09999999e-001, 1.36985019e-001, 0.00000000e+000, 1.30140424e-001
1.09999999e-001, 1.38442308e-001, 0.00000000e+000, 1.30050972e-001
1.09999999e-001, 1.39899597e-001, 0.00000000e+000, 1.29937917e-001
1.09999999e-001, 1.41356885e-001, 0.00000000e+000, 1.29726350e-001
1.09999999e-001, 1.42814174e-001, 0.00000000e+000, 1.29517213e-001
1.09999999e-001, 1.44271463e-001, 0.00000000e+000, 1.29303887e-001
1.09999999e-001, 1.45728752e-001, 0.00000000e+000, 1.29062489e-001
1.09999999e-001, 1.47186041e-001, 0.00000000e+000, 1.28824145e-001
1.09999999e-001, 1.48643330e-001, 0.00000000e+000, 1.28601477e-001
1.09999999e-001, 1.50100619e-001, 0.00000000e+000, 1.28460258e-001
1.09999999e-001, 1.51557907e-001, 0.00000000e+000, 1.28323182e-001
1.09999999e-001, 1.53015196e-001, 0.00000000e+000, 1.28209993e-001
1.09999999e-001, 1.54472485e-001, 0.00000000e+000, 1.28271297e-001
1.09999999e-001, 1.55929774e-001, 0.00000000e+000, 1.28337115e-001
1.09999999e-001, 1.57387063e-001, 0.00000000e+000, 1.28423452e-001
1.09999999e-001, 1.58844352e-001, 0.00000000e+000, 1.28727108e-001
1.09999999e-001, 1.60301641e-001, 0.00000000e+000, 1.29034907e-001
1.09999999e-001, 1.61758929e-001, 0.00000000e+000, 1.29352868e-001
1.09999999e-001, 1.63216218e-001, 0.00000000e+000, 1.29847825e-001
1.09999999e-001, 1.64673507e-001, 0.00000000e+000, 1.30346298e-001
1.09999999e-001, 1.66130796e-001, 0.00000000e+000, 1.30848303e-001
1.09999999e-001, 1.67588085e-001, 0.00000000e+000, 1.31391525e-001
1.09999999e-001, 1.69045374e-001, 0.00000000e+000, 1.31939232e-001
1.09999999e-001, 1.70502663e-001, 0.00000000e+000, 1.32491305e-001
1.09999999e-001, 1.71959952e-001, 0.00000000e+000, 1.32920161e-001
1.09999999e-001, 1.73417240e-001, 0.00000000e+000, 1.33349985e-001
1.09999999e-001, 1.74874529e-001, 0.00000000e+000, 1.33785680e-001
1.09999999e-001, 1.76331818e-001, 0.00000000e+000, 1.34001255e-001
1.09999999e-001, 1.77789107e-001, 0.00000000e+000, 1.34204730e-001
1.09999999e-001, 1.79246396e-001, 0.00000000e+000, 1.34413958e-001
1.09999999e-001, 1.80703685e-001, 0.00000000e+000, 1.34415463e-001
1.09999999e-001, 1.82160974e-001, 0.00000000e+000, 1.34394869e-001
1.09999999e-001, 1.83618262e-001, 0.00000000e+000, 1.34378165e-001
1.09999999e-001, 1.85075551e-001, 0.00000000e+000, 1.34262279e-001
1.09999999e-001, 1.86532840e-001, 0.00000000e+000, 1.34131774e-001
1.09999999e-001, 1.87990129e-001, 0.00000000e+000, 1.34003982e-001
1.09999999e-001, 1.89447418e-001, 0.00000000e+000, 1.33980274e-001
1.09999999e-001, 1.90904707e-001, 0.00000000e+000, 1.33981302e-001
1.09999999e-001, 1.92361996e-001, 0.00000000e+000, 1.33984715e-001
1.09999999e-001, 1.93819284e-001, 0.00000000e+000, 1.33964494e-001
1.09999999e-001, 1.95276573e-001, 0.00000000e+000, 1.33939117e-001
1.09999999e-001, 1.96733862e-001, 0.00000000e+000, 1.33915737e-001
1.09999999e-001, 1.98191151e-001, 0.00000000e+000, 1.33951321e-001
1.09999999e-001, 1.99648440e-001, 0.00000000e+000, 1.34016499e-001
1.09999999e-001, 2.01105729e-001, 0.00000000e+000, 1.34093314e-001
1.09999999e-001, 2.02563018e-001, 0.00000000e+000, 1.34453267e-001
1.09999999e-001, 2.04020306e-001, 0.00000000e+000, 1.34952530e-001
1.09999999e-001, 2.05477595e-001, 0.00000000e+000, 1.35484546e-001
1.09999999e-001, 2.06934884e-001, 0.00000000e+000, 1.36123434e-001
1.09999999e-001, 2.08392173e-001, 0.00000000e+000, 1.36841789e-001
1.09999999e-001, 2.09849462e-001, 0.00000000e+000, 1.37605727e-001
1.09999999e-001, 2.11306751e-001, 0.00000000e+000, 1.38302192e-001
1.09999999e-001, 2.12764040e-001, 0.00000000e+000, 1.38980389e-001
1.09999999e-001, 2.14221328e-001, 0.00000000e+000, 1.39702469e-001
1.09999999e-001, 2.15678617e-001, 0.00000000e+000, 1.40238196e-001
1.09999999e-001, 2.17135906e-001, 0.00000000e+000, 1.40659675e-001
1.09999999e-001, 2.18593195e-001, 0.00000000e+000, 1.41113952e-001
1.09999999e-001, 2.20050484e-001, 0.00000000e+000, 1.41345978e-001
1.09999999e-001, 2.21507773e-001, 0.00000000e+000, 1.41409010e-001
1.09999999e-001, 2.22965062e-001, 0.00000000e+000, 1.41492233e-001
1.09999999e-001, 2.24422351e-001, 0.00000000e+000, 1.41364828e-001
1.09999999e-001, 2.25879639e-001, 0.00000000e+000, 1.41049236e-001
1.09999999e-001, 2.27336928e-001, 0.00000000e+000, 1.40743941e-001
1.09999999e-001, 2.28794217e-001, 0.00000000e+000, 1.40277937e-001
1.09999999e-001, 2.30251506e-001, 0.00000000e+000, 1.39645964e-001
1.09999999e-001, 2.31708795e-001, 0.00000000e+000, 1.39018267e-001
1.09999999e-001, 2.33166084e-001, 0.00000000e+000, 1.38295084e-001
1.09999999e-001, 2.34623373e-001, 0.00000000e+000, 1.37458712e-001
1.09999999e-001, 2.36080661e-001, 0.00000000e+000, 1.36624023e-001
1.09999999e-001, 2.37537950e-001, 0.00000000e+000, 1.35750160e-001
1.09999999e-001, 2.38995239e-001, 0.00000000e+000, 1.34823322e-001
1.09999999e-001, 2.40452528e-001, 0.00000000e+000, 1.33898199e-001
1.09999999e-001, 2.41909817e-001, 0.00000000e+000, 1.32975325e-001
1.09999999e-001, 2.43367106e-001, 0.00000000e+000, 1.32056430e-001
1.09999999e-001, 2.44824395e-001, 0.00000000e+000, 1.31141335e-001
1.09999999e-001, 2.46281683e-001, 0.00000000e+000, 1.30253509e-001
1.09999999e-001, 2.47738972e-001, 0.00000000e+000, 1.29414558e-001
1.09999999e-001, 2.49196261e-001, 0.00000000e+000, 1.28583625e-001
1.09999999e-001, 2.50653535e-001, 0.00000000e+000, 1.27789244e-001
1.09999999e-001, 2.52110809e-001, 0.00000000e+000, 1.27067611e-001
1.09999999e-001, 2.53568083e-001, 0.00000000e+000, 1.26361236e-001
1.09999999e-001, 2.55025357e-001, 0.00000000e+000, 1.25688344e-001
1.09999999e-001, 2.56482631e-001, 0.00000000e+000, 1.25083745e-001
1.09999999e-001, 2.57939905e-001, 0.00000000e+000, 1.24506839e-001
1.09999999e-001, 2.59397179e-001, 0.00000000e+000, 1.23949960e-001
1.09999999e-001, 2.60854453e-001, 0.00000000e+000, 1.23410121e-001
1.09999999e-001, 2.62311727e-001, 0.00000000e+000, 1.22919545e-001
1.09999999e-001, 2.63769001e-001, 0.00000000e+000, 1.22436978e-001
1.09999999e-001, 2.65226275e-001, 0.00000000e+000, 1.21872261e-001
1.09999999e-001, 2.66683549e-001, 0.00000000e+000, 1.21393345e-001
1.09999999e-001, 2.68140823e-001, 0.00000000e+000, 1.20920345e-001
1.09999999e-001, 2.69598097e-001, 0.00000000e+000, 1.20196946e-001
1.09999999e-001, 2.71055371e-001, 0.00000000e+000, 1.19622715e-001
1.09999999e-001, 2.72512645e-001, 0.00000000e+000, 1.19113639e-001
1.09999999e-001, 2.73969918e-001, 0.00000000e+000, 1.18295290e-001
1.09999999e-001, 2.75427192e-001, 0.00000000e+000, 1.17731303e-001
1.09999999e-001, 2.76884466e-001, 0.00000000e+000, 1.17338501e-001
1.09999999e-001, 2.78341740e-001, 0.00000000e+000, 1.16596416e-001
1.09999999e-001, 2.79799014e-001, 0.00000000e+000, 1.16329424e-001
1.09999999e-001, 2.81256288e-001, 0.00000000e+000, 1.16565719e-001
1.09999999e-001, 2.82713562e-001, 0.00000000e+000, 1.17707282e-001
1.09999999e-001, 2.84170836e-001, 0.00000000e+000, 1.19502306e-001
1.09999999e-001, 2.85628110e-001, 0.00000000e+000, 1.21831872e-001
1.09999999e-001, 2.87085384e-001, 0.00000000e+000, 1.22458249e-001
1.09999999e-001, 2.88542658e-001, 0.00000000e+000, 1.23932093e-001
1.09999999e-001, 2.89999932e-001, 0.00000000e+000, 1.26223668e-001
