
[Name]
LineMerici

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity in Stn Frame [ m s^-1 ]
1.09999999e-001, 1.16582982e-001, 0.00000000e+000, 1.47182435e-001
1.09999999e-001, 1.18040271e-001, 0.00000000e+000, 1.49572656e-001
1.09999999e-001, 1.19497560e-001, 0.00000000e+000, 1.51924357e-001
1.09999999e-001, 1.20954849e-001, 0.00000000e+000, 1.54115006e-001
1.09999999e-001, 1.22412138e-001, 0.00000000e+000, 1.56265512e-001
1.09999999e-001, 1.23869427e-001, 0.00000000e+000, 1.58241287e-001
1.09999999e-001, 1.25326708e-001, 0.00000000e+000, 1.60138279e-001
1.09999999e-001, 1.26783997e-001, 0.00000000e+000, 1.61891788e-001
1.09999999e-001, 1.28241286e-001, 0.00000000e+000, 1.63506210e-001
1.09999999e-001, 1.29698575e-001, 0.00000000e+000, 1.65022284e-001
1.09999999e-001, 1.31155863e-001, 0.00000000e+000, 1.66304588e-001
1.09999999e-001, 1.32613152e-001, 0.00000000e+000, 1.67528003e-001
1.09999999e-001, 1.34070441e-001, 0.00000000e+000, 1.68510452e-001
1.09999999e-001, 1.35527730e-001, 0.00000000e+000, 1.69400528e-001
1.09999999e-001, 1.36985019e-001, 0.00000000e+000, 1.69991210e-001
1.09999999e-001, 1.38442308e-001, 0.00000000e+000, 1.70591176e-001
1.09999999e-001, 1.39899597e-001, 0.00000000e+000, 1.71063647e-001
1.09999999e-001, 1.41356885e-001, 0.00000000e+000, 1.71032667e-001
1.09999999e-001, 1.42814174e-001, 0.00000000e+000, 1.71008885e-001
1.09999999e-001, 1.44271463e-001, 0.00000000e+000, 1.70887634e-001
1.09999999e-001, 1.45728752e-001, 0.00000000e+000, 1.70284912e-001
1.09999999e-001, 1.47186041e-001, 0.00000000e+000, 1.69689566e-001
1.09999999e-001, 1.48643330e-001, 0.00000000e+000, 1.69030935e-001
1.09999999e-001, 1.50100619e-001, 0.00000000e+000, 1.67949349e-001
1.09999999e-001, 1.51557907e-001, 0.00000000e+000, 1.66876256e-001
1.09999999e-001, 1.53015196e-001, 0.00000000e+000, 1.65769428e-001
1.09999999e-001, 1.54472485e-001, 0.00000000e+000, 1.64314300e-001
1.09999999e-001, 1.55929774e-001, 0.00000000e+000, 1.62870213e-001
1.09999999e-001, 1.57387063e-001, 0.00000000e+000, 1.61417559e-001
1.09999999e-001, 1.58844352e-001, 0.00000000e+000, 1.59710050e-001
1.09999999e-001, 1.60301641e-001, 0.00000000e+000, 1.58018723e-001
1.09999999e-001, 1.61758929e-001, 0.00000000e+000, 1.56338871e-001
1.09999999e-001, 1.63216218e-001, 0.00000000e+000, 1.54527530e-001
1.09999999e-001, 1.64673507e-001, 0.00000000e+000, 1.52740255e-001
1.09999999e-001, 1.66130796e-001, 0.00000000e+000, 1.50977924e-001
